ui,uj,distance
BDSU001,BDSU001,0
BDSU001,BDSU002,18.9181131
BDSU001,BDSU003,123.8139956
BDSU001,BDSU004,128.3721095
BDSU001,BDSU005,129.7766759
BDSU001,BDSU006,25.25608528
BDSU001,BDSU007,142.0932745
BDSU001,BDSU008,135.1165844
BDSU001,BDSU009,136.5199688
BDSU001,BDSU010,25.83352562
BDSU001,BDSU011,137.6060557
BDSU001,BDSU012,30.78051573
BDSU001,BDSU013,65.89840423
BDSU001,BDSU014,126.1225198
BDSU001,BDSU015,131.3536763
BDSU001,BDSU016,125.3396063
BDSU001,BDSU017,184.1197427
BDSU001,BDSU018,130.0728839
BDSU001,BDSU019,
BDSU001,BDSU020,258.57807
BDSU001,BDSU021,248.1407658
BDSU001,BDSU022,259.8685168
BDSU001,BDSU023,253.4925887
BDSU001,BDSU024,68.14180632
BDSU001,BDSU025,251.0478067
BDSU001,BDSU026,240.3372814
BDSU001,BDSU027,248.1270284
BDSU001,BDSU028,259.9476351
BDSU001,BDSU029,244.5157952
BDSU001,BDSU030,280.669611
BDSU001,BDSU031,238.4035786
BDSU001,BDSU032,337.1042225
BDSU001,BDSU033,302.5918201
BDSU001,BDSU034,238.21577
BDSU001,BDSU035,355.638356
BDSU001,BDSU036,133.4259427
BDSU001,BDSU037,182.9392141
BDSU001,BDSU038,14.0137223
BDSU001,BDSU039,97.37615443
BDSU001,BDSU040,16.95226228
BDSU001,BDSU041,43.86196101
BDSU001,BDSU042,33.81339723
BDSU001,BDSU043,7.493735134
BDSU001,BDSU044,30.53712009
BDSU001,BDSU045,37.77933709
BDSU001,BDSU046,194.6599788
BDSU001,BDSU047,199.31141
BDSU001,BDSU048,31.76081061
BDSU001,BDSU049,43.07927924
BDSU001,BDSU050,184.6628645
BDSU001,BDSU051,152.0064225
BDSU001,BDSU052,247.1350131
BDSU001,BDSU053,231.9124441
BDSU001,BDSU054,267.7357819
BDSU001,BDSU055,245.0671508
BDSU001,BDSU056,257.806364
BDSU001,BDSU057,248.700497
BDSU001,BDSU058,248.7630872
BDSU001,BDSU059,233.0320915
BDSU001,BDSU060,271.1922106
BDSU001,BDSU061,268.1203384
BDSU001,BDSU062,276.0905864
BDSU001,BDSU063,293.4805887
BDSU001,BDSU064,274.575455
BDSU001,BDSU065,300.3827256
BDSU001,BDSU066,292.2177329
BDSU001,BDSU067,279.6605931
BDSU001,BDSU068,293.4805887
BDSU001,BDSU069,295.6375352
BDSU001,BDSU070,302.8656499
BDSU001,BDSU071,272.5414138
BDSU001,BDSU072,317.0547592
BDSU001,BDSU073,285.3851427
BDSU001,BDSU074,402.334642
BDSU001,BDSU075,401.921286
BDSU001,BDSU076,260.1462264
BDSU001,BDSU077,305.9337428
BDSU001,BDSU078,267.375038
BDSU001,BDSU079,272.4166238
BDSU002,BDSU001,18.9181131
BDSU002,BDSU002,0
BDSU002,BDSU003,133.6135215
BDSU002,BDSU004,139.1973632
BDSU002,BDSU005,134.2482427
BDSU002,BDSU006,43.6529866
BDSU002,BDSU007,145.3926906
BDSU002,BDSU008,141.1075564
BDSU002,BDSU009,142.4281036
BDSU002,BDSU010,44.6025389
BDSU002,BDSU011,141.59873
BDSU002,BDSU012,49.03511903
BDSU002,BDSU013,84.08142129
BDSU002,BDSU014,136.3837693
BDSU002,BDSU015,141.5664133
BDSU002,BDSU016,135.4498719
BDSU002,BDSU017,192.0731732
BDSU002,BDSU018,141.1716893
BDSU002,BDSU019,
BDSU002,BDSU020,270.0745031
BDSU002,BDSU021,257.5851746
BDSU002,BDSU022,263.8027743
BDSU002,BDSU023,259.4064627
BDSU002,BDSU024,87.05977674
BDSU002,BDSU025,257.7349914
BDSU002,BDSU026,252.9563711
BDSU002,BDSU027,259.7870227
BDSU002,BDSU028,270.2799792
BDSU002,BDSU029,256.8148091
BDSU002,BDSU030,290.9643997
BDSU002,BDSU031,249.6959664
BDSU002,BDSU032,347.4841415
BDSU002,BDSU033,313.1495985
BDSU002,BDSU034,248.5835626
BDSU002,BDSU035,366.0227498
BDSU002,BDSU036,144.3069579
BDSU002,BDSU037,191.9059242
BDSU002,BDSU038,10.01971041
BDSU002,BDSU039,108.4118551
BDSU002,BDSU040,10.77419776
BDSU002,BDSU041,24.94434358
BDSU002,BDSU042,15.13636159
BDSU002,BDSU043,25.56451475
BDSU002,BDSU044,11.70476867
BDSU002,BDSU045,54.26536298
BDSU002,BDSU046,199.1852478
BDSU002,BDSU047,203.8232559
BDSU002,BDSU048,13.21202571
BDSU002,BDSU049,60.4272023
BDSU002,BDSU050,195.0217159
BDSU002,BDSU051,161.2273361
BDSU002,BDSU052,254.1402903
BDSU002,BDSU053,241.9238423
BDSU002,BDSU054,282.5315703
BDSU002,BDSU055,258.6993699
BDSU002,BDSU056,270.8117333
BDSU002,BDSU057,263.089449
BDSU002,BDSU058,262.0297584
BDSU002,BDSU059,240.7222375
BDSU002,BDSU060,285.0674304
BDSU002,BDSU061,283.0087199
BDSU002,BDSU062,290.2892939
BDSU002,BDSU063,307.9439299
BDSU002,BDSU064,288.5842692
BDSU002,BDSU065,315.0213485
BDSU002,BDSU066,306.2724265
BDSU002,BDSU067,294.3144828
BDSU002,BDSU068,307.9439299
BDSU002,BDSU069,309.3900651
BDSU002,BDSU070,316.6320616
BDSU002,BDSU071,286.5620686
BDSU002,BDSU072,329.7860004
BDSU002,BDSU073,295.8357962
BDSU002,BDSU074,411.3369265
BDSU002,BDSU075,410.6386226
BDSU002,BDSU076,274.5543251
BDSU002,BDSU077,320.8732634
BDSU002,BDSU078,280.7940873
BDSU002,BDSU079,287.0787061
BDSU003,BDSU001,123.8139956
BDSU003,BDSU002,133.6135215
BDSU003,BDSU003,0
BDSU003,BDSU004,9.886997788
BDSU003,BDSU005,39.83985917
BDSU003,BDSU006,107.3319257
BDSU003,BDSU007,52.14222317
BDSU003,BDSU008,31.0264902
BDSU003,BDSU009,32.18218247
BDSU003,BDSU010,118.384761
BDSU003,BDSU011,45.59086
BDSU003,BDSU012,103.5286663
BDSU003,BDSU013,89.42950416
BDSU003,BDSU014,4.522384982
BDSU003,BDSU015,8.476118153
BDSU003,BDSU016,3.01492327
BDSU003,BDSU017,61.90398329
BDSU003,BDSU018,12.89523904
BDSU003,BDSU019,
BDSU003,BDSU020,137.2027163
BDSU003,BDSU021,124.3381989
BDSU003,BDSU022,146.6522475
BDSU003,BDSU023,134.3092214
BDSU003,BDSU024,110.6418101
BDSU003,BDSU025,130.0962628
BDSU003,BDSU026,122.5724867
BDSU003,BDSU027,127.2058362
BDSU003,BDSU028,136.6666248
BDSU003,BDSU029,125.5229735
BDSU003,BDSU030,157.3522453
BDSU003,BDSU031,116.6718464
BDSU003,BDSU032,213.8713227
BDSU003,BDSU033,179.5504146
BDSU003,BDSU034,114.9751199
BDSU003,BDSU035,232.4104701
BDSU003,BDSU036,13.66218926
BDSU003,BDSU037,59.31568488
BDSU003,BDSU038,135.9773781
BDSU003,BDSU039,27.40175919
BDSU003,BDSU040,139.0012585
BDSU003,BDSU041,149.4166858
BDSU003,BDSU042,145.2908449
BDSU003,BDSU043,117.3919241
BDSU003,BDSU044,139.1267707
BDSU003,BDSU045,134.5429544
BDSU003,BDSU046,83.50856734
BDSU003,BDSU047,87.72811746
BDSU003,BDSU048,138.0688257
BDSU003,BDSU049,131.5090929
BDSU003,BDSU050,61.4518212
BDSU003,BDSU051,28.39693124
BDSU003,BDSU052,125.6026994
BDSU003,BDSU053,108.3442092
BDSU003,BDSU054,160.7568226
BDSU003,BDSU055,131.8144818
