Source,Target
BDSU001,BDSU006
BDSU001,BDSU006
BDSU001,BDSU010
BDSU001,BDSU011
BDSU001,BDSU024
BDSU001,BDSU041
BDSU001,BDSU049
BDSU001,BDSU064
BDSU002,BDSU001
BDSU002,BDSU001
BDSU002,BDSU002
BDSU002,BDSU002
BDSU002,BDSU011
BDSU002,BDSU043
BDSU002,BDSU043
BDSU004,BDSU006
BDSU004,BDSU016
BDSU005,BDSU008
BDSU005,BDSU009
BDSU005,BDSU009
BDSU005,BDSU011
BDSU005,BDSU045
BDSU005,BDSU050
BDSU005,BDSU050
BDSU006,BDSU012
BDSU006,BDSU012
BDSU006,BDSU017
BDSU006,BDSU038
BDSU006,BDSU042
BDSU006,BDSU049
BDSU006,BDSU049
BDSU006,BDSU059
BDSU007,BDSU011
BDSU007,BDSU015
BDSU007,BDSU018
BDSU008,BDSU005
BDSU008,BDSU009
BDSU008,BDSU018
BDSU009,BDSU005
BDSU009,BDSU005
BDSU009,BDSU008
BDSU009,BDSU011
BDSU009,BDSU018
BDSU009,BDSU050
BDSU010,BDSU043
BDSU011,BDSU001
BDSU011,BDSU005
BDSU011,BDSU007
BDSU011,BDSU007
BDSU011,BDSU007
BDSU011,BDSU009
BDSU011,BDSU010
BDSU011,BDSU011
BDSU011,BDSU011
BDSU011,BDSU012
BDSU011,BDSU018
BDSU011,BDSU018
BDSU011,BDSU050
BDSU012,BDSU006
BDSU012,BDSU056
BDSU013,BDSU013
BDSU014,BDSU015
BDSU014,BDSU016
BDSU014,BDSU017
BDSU015,BDSU006
BDSU015,BDSU014
BDSU016,BDSU001
BDSU016,BDSU003
BDSU016,BDSU014
BDSU016,BDSU039
BDSU016,BDSU051
BDSU017,BDSU014
BDSU017,BDSU018
BDSU017,BDSU026
BDSU017,BDSU029
BDSU017,BDSU037
BDSU017,BDSU050
BDSU018,BDSU017
BDSU018,BDSU036
BDSU018,BDSU037
BDSU019,BDSU046
BDSU020,BDSU029
BDSU020,BDSU046
BDSU021,BDSU025
BDSU021,BDSU026
BDSU022,BDSU019
BDSU022,BDSU023
BDSU022,BDSU028
BDSU022,BDSU052
BDSU023,BDSU022
BDSU023,BDSU052
BDSU023,BDSU052
BDSU024,BDSU001
BDSU025,BDSU021
BDSU025,BDSU059
BDSU026,BDSU017
BDSU026,BDSU029
BDSU026,BDSU029
BDSU027,BDSU034
BDSU027,BDSU070
BDSU028,BDSU022
BDSU028,BDSU034
BDSU029,BDSU017
BDSU029,BDSU020
BDSU029,BDSU026
BDSU029,BDSU026
BDSU029,BDSU031
BDSU029,BDSU034
BDSU029,BDSU055
BDSU030,BDSU033
BDSU030,BDSU073
BDSU031,BDSU029
BDSU031,BDSU055
BDSU032,BDSU030
BDSU032,BDSU033
BDSU032,BDSU035
BDSU032,BDSU062
BDSU033,BDSU030
BDSU033,BDSU030
BDSU033,BDSU073
