Source,Target
BDSU001,BDSU002
BDSU001,BDSU011
BDSU001,BDSU013
BDSU001,BDSU049
BDSU001,BDSU059
BDSU002,BDSU001
BDSU002,BDSU001
BDSU002,BDSU001
BDSU002,BDSU011
BDSU002,BDSU043
BDSU002,BDSU050
BDSU003,BDSU004
BDSU003,BDSU016
BDSU003,BDSU051
BDSU004,BDSU006
BDSU004,BDSU036
BDSU004,BDSU075
BDSU005,BDSU009
BDSU005,BDSU050
BDSU005,BDSU050
BDSU006,BDSU001
BDSU006,BDSU001
BDSU006,BDSU012
BDSU006,BDSU038
BDSU006,BDSU042
BDSU006,BDSU048
BDSU006,BDSU049
BDSU006,BDSU049
BDSU006,BDSU050
BDSU006,BDSU059
BDSU007,BDSU011
BDSU007,BDSU011
BDSU007,BDSU012
BDSU007,BDSU020
BDSU007,BDSU050
BDSU007,BDSU054
BDSU008,BDSU001
BDSU008,BDSU002
BDSU008,BDSU005
BDSU008,BDSU009
BDSU008,BDSU009
BDSU008,BDSU024
BDSU008,BDSU050
BDSU008,BDSU067
BDSU009,BDSU005
BDSU009,BDSU005
BDSU009,BDSU005
BDSU009,BDSU008
BDSU009,BDSU008
BDSU009,BDSU011
BDSU009,BDSU018
BDSU009,BDSU028
BDSU009,BDSU050
BDSU009,BDSU050
BDSU010,BDSU001
BDSU010,BDSU002
BDSU010,BDSU011
BDSU010,BDSU024
BDSU010,BDSU050
BDSU010,BDSU056
BDSU011,BDSU005
BDSU011,BDSU007
BDSU011,BDSU009
BDSU011,BDSU050
BDSU012,BDSU001
BDSU012,BDSU005
BDSU012,BDSU006
BDSU012,BDSU006
BDSU012,BDSU008
BDSU012,BDSU011
BDSU012,BDSU011
BDSU012,BDSU013
BDSU012,BDSU030
BDSU012,BDSU038
BDSU012,BDSU049
BDSU012,BDSU056
BDSU013,BDSU005
BDSU014,BDSU018
BDSU014,BDSU050
BDSU014,BDSU075
BDSU015,BDSU014
BDSU015,BDSU017
BDSU015,BDSU019
BDSU015,BDSU026
BDSU015,BDSU029
BDSU015,BDSU036
BDSU015,BDSU050
BDSU016,BDSU001
BDSU016,BDSU003
BDSU016,BDSU004
BDSU016,BDSU009
BDSU016,BDSU014
BDSU016,BDSU051
BDSU017,BDSU014
BDSU017,BDSU018
BDSU017,BDSU019
BDSU017,BDSU033
BDSU017,BDSU050
BDSU018,BDSU004
BDSU018,BDSU050
BDSU019,BDSU024
BDSU020,BDSU026
BDSU020,BDSU029
BDSU020,BDSU034
BDSU020,BDSU073
BDSU021,BDSU065
BDSU022,BDSU032
BDSU022,BDSU032
BDSU022,BDSU032
BDSU022,BDSU052
BDSU022,BDSU070
BDSU023,BDSU022
BDSU023,BDSU036
BDSU023,BDSU052
BDSU024,BDSU002
BDSU024,BDSU043
BDSU026,BDSU017
BDSU026,BDSU029
BDSU026,BDSU029
BDSU027,BDSU034
BDSU027,BDSU055
BDSU027,BDSU062
BDSU027,BDSU070
BDSU028,BDSU005
BDSU028,BDSU021
BDSU028,BDSU022
BDSU028,BDSU025
BDSU028,BDSU034
BDSU029,BDSU017
BDSU029,BDSU026
BDSU029,BDSU031
BDSU029,BDSU031
BDSU029,BDSU034
BDSU029,BDSU055
BDSU030,BDSU033
BDSU030,BDSU073
BDSU031,BDSU026
BDSU031,BDSU027
BDSU031,BDSU029
BDSU031,BDSU034
BDSU031,BDSU034
BDSU031,BDSU055
BDSU032,BDSU030
BDSU032,BDSU033
BDSU033,BDSU030
BDSU033,BDSU034
BDSU033,BDSU042
BDSU033,BDSU066
BDSU033,BDSU072
BDSU033,BDSU072
BDSU033,BDSU073
BDSU033,BDSU073
BDSU033,BDSU073
BDSU033,BDSU077
BDSU034,BDSU017
BDSU034,BDSU027
BDSU034,BDSU029
BDSU034,BDSU031
BDSU034,BDSU033
BDSU034,BDSU046
BDSU034,BDSU047
BDSU034,BDSU053
BDSU034,BDSU064
BDSU035,BDSU032
BDSU035,BDSU033
BDSU035,BDSU062
BDSU036,BDSU010
BDSU036,BDSU016
BDSU037,BDSU005
BDSU037,BDSU017
BDSU037,BDSU018
BDSU037,BDSU050
BDSU037,BDSU050
BDSU038,BDSU001
BDSU038,BDSU033
BDSU038,BDSU035
BDSU038,BDSU039
BDSU038,BDSU040
BDSU038,BDSU050
BDSU039,BDSU001
BDSU039,BDSU016
BDSU039,BDSU038
BDSU039,BDSU050
BDSU040,BDSU001
BDSU040,BDSU005
BDSU040,BDSU038
BDSU040,BDSU050
BDSU040,BDSU050
BDSU041,BDSU001
BDSU041,BDSU012
BDSU041,BDSU038
BDSU041,BDSU050
BDSU042,BDSU037
BDSU042,BDSU045
BDSU043,BDSU002
BDSU043,BDSU010
BDSU043,BDSU010
BDSU043,BDSU050
BDSU044,BDSU011
BDSU045,BDSU005
BDSU045,BDSU006
BDSU045,BDSU011
BDSU045,BDSU050
BDSU045,BDSU073
BDSU046,BDSU008
BDSU046,BDSU047
BDSU046,BDSU050
BDSU046,BDSU073
BDSU047,BDSU018
BDSU047,BDSU046
BDSU048,BDSU001
BDSU048,BDSU006
BDSU048,BDSU006
BDSU048,BDSU041
BDSU048,BDSU042
BDSU049,BDSU001
BDSU049,BDSU001
BDSU049,BDSU006
BDSU049,BDSU006
BDSU049,BDSU041
BDSU049,BDSU045
BDSU049,BDSU050
BDSU049,BDSU050
BDSU049,BDSU059
BDSU050,BDSU005
BDSU050,BDSU006
BDSU050,BDSU006
BDSU050,BDSU013
BDSU050,BDSU018
