ID,hh_size,head_age,land,salaried,status,outside
BDSU001,4,65,0,0,0,4
BDSU002,8,67,1,0,0,3
BDSU003,4,30,1,1,0,4
BDSU004,5,24,0,0,0,5
BDSU005,7,79,1,0,1,7
BDSU006,5,61,0,0,0,3
BDSU007,2,85,0,0,0,5
BDSU008,4,83,1,0,1,11
BDSU009,5,57,1,1,0,11
BDSU010,4,53,0,0,0,5
BDSU011,8,43,0,1,1,16
BDSU012,4,65,1,0,0,12
BDSU013,8,60,0,0,0,4
BDSU014,3,42,1,0,0,5
BDSU015,3,52,0,0,0,7
BDSU016,4,45,1,1,0,6
BDSU017,3,34,0,0,0,8
BDSU018,5,30,0,0,0,7
BDSU019,5,27,0,0,0,3
BDSU020,4,68,0,0,0,5
BDSU021,3,30,1,0,0,7
BDSU022,7,64,1,0,0,8
BDSU023,3,30,0,0,0,10
BDSU024,4,59,1,0,0,9
BDSU025,4,35,0,0,0,5
BDSU026,4,55,1,0,0,9
BDSU027,5,65,1,0,0,14
BDSU028,6,60,0,0,1,17
BDSU029,3,55,1,0,0,8
BDSU030,3,55,0,0,1,18
BDSU031,5,49,1,0,0,12
BDSU032,3,56,1,0,0,1
BDSU033,3,40,0,0,0,16
BDSU034,5,70,1,1,0,10
BDSU035,8,71,1,0,0,7
BDSU036,5,68,0,0,0,5
BDSU037,2,45,0,0,0,11
BDSU038,4,55,1,0,0,5
BDSU039,3,60,1,0,0,10
BDSU040,2,50,0,1,0,14
BDSU041,3,45,0,0,0,4
BDSU042,6,76,0,0,0,16
BDSU043,5,35,0,0,0,13
BDSU044,4,40,0,0,0,23
BDSU045,4,35,0,0,0,14
BDSU046,5,67,1,0,0,3
BDSU047,5,46,0,0,0,6
BDSU048,6,60,0,0,0,9
BDSU049,4,32,1,0,0,5
BDSU050,7,45,0,0,0,14
BDSU051,5,30,0,1,0,11
BDSU052,2,56,0,0,0,8
BDSU053,4,28,0,0,0,8
BDSU054,1,50,1,0,0,8
BDSU055,5,60,0,1,0,8
BDSU056,2,63,0,0,0,12
BDSU057,5,45,1,1,0,22
BDSU058,4,60,0,0,0,7
BDSU059,2,50,0,0,0,7
BDSU060,6,50,0,0,0,9
BDSU061,4,60,0,1,0,7
BDSU062,4,48,0,1,1,10
BDSU063,1,65,0,0,0,4
BDSU064,6,37,1,0,0,6
BDSU065,3,44,0,1,1,7
BDSU066,4,26,0,1,0,13
BDSU067,3,35,0,0,0,11
BDSU068,3,56,0,0,0,9
BDSU069,5,60,0,1,0,10
BDSU070,4,32,0,1,0,4
BDSU071,1,80,0,0,0,7
BDSU072,5,28,0,0,0,8
BDSU073,6,69,0,0,0,5
BDSU074,1,55,1,0,1,10
BDSU075,7,59,1,0,1,6
BDSU076,1,50,1,0,0,11
BDSU077,2,25,0,1,0,5
BDSU078,5,53,1,0,0,11
BDSU079,4,48,0,0,0,7
