Id,Label,hh_size,head_age,landsalstat,weighted indegree,weighted outdegree,Weighted Degree,new_status,indegree,new_salaried,outdegree,Degree,new_land2,wealth_total_val_usd,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
BDSU001,,4,65,none,3,6,9,0,3,0,6,9,0,3103,9,0.281407,0.380789,0.094222,0.129247,0.190507,0.008288,0,11,1,0,0.047619,0.16896
BDSU002,,8,67,land,1,2,3,0,1,0,2,3,1,4224,9,0.243902,0.296792,0.026973,0.00271,0.015874,0.005139,0,12,4,3,0,0.03214
BDSU003,,4,30,landsal,2,2,4,0,1,1,1,2,1,2112,11,0.153005,0.188053,0,0.020579,0.036079,0.014541,0,11,3,0,0,0.150868
BDSU004,,5,24,none,0,4,4,0,0,0,4,4,0,2837,7,0.268868,0.342732,0,0,0.164385,0.00246,0,13,0,0,0,0
BDSU005,,7,79,landstat,2,3,5,1,2,0,3,5,1,7023,12,0.178344,0.253728,0.029559,0.072559,0.075338,0.008594,0,11,1,0,0,0.17173
BDSU006,,5,61,none,8,3,11,0,6,0,2,8,0,2132,11,0.193772,0.249802,0.084071,0.23861,0.018811,0.019183,0,11,0,0,0.047619,0.266347
BDSU007,,2,85,none,0,2,2,0,0,0,1,1,0,1845,12,0.148052,0.184651,0,0,0.135064,0.00246,0,14,7,0,0,0
BDSU008,,4,83,landstat,1,4,5,1,1,0,3,4,1,8023,9,0.230453,0.30124,0.004468,0.062751,0.146291,0.003694,0,11,3,0,0,0.079395
BDSU009,,5,57,landsal,5,4,9,0,3,1,4,7,1,3844,8,0.271845,0.353295,0.043817,0.180982,0.235496,0.005803,0,11,3,0,0.05,0.189689
BDSU010,,4,53,none,1,2,3,0,1,0,1,2,0,4406,12,0.145631,0.172997,0,0.00035,0.000777,0.007271,0,12,4,3,0,0.03214
BDSU011,,8,43,salstat,2,5,7,1,2,1,4,6,0,5093,8,0.301075,0.379783,0.097325,0.054993,0.283101,0.005819,0,11,1,0,0.05,0.094487
BDSU012,,4,65,land,2,2,4,0,1,0,1,2,1,2884,12,0.162791,0.19718,0,0.005012,0.06358,0.010613,0,11,0,0,0,0.121689
BDSU013,,8,60,none,0,0,0,0,0,0,0,0,0,6084,0,0,0,0,0,0,0.00246,1,15,5,1,0,0
BDSU014,,3,42,land,3,2,5,0,3,0,2,5,1,1596,10,0.176101,0.228571,0.039294,0.00792,0.171143,0.015792,0,11,7,0,0.083333,0.261481
BDSU015,,3,52,none,1,1,2,0,1,0,1,2,0,2236,11,0.152,0.188334,0,0.003405,0.00211,0.002983,0,16,7,0,0.5,0.00325
BDSU016,,4,45,landsal,6,4,10,0,5,1,3,8,1,4293,10,0.180064,0.239782,0.059024,0.1354,0.077231,0.042672,0,11,3,0,0,0.394682
BDSU017,,3,34,none,3,4,7,0,3,0,4,7,0,1652,8,0.246696,0.32821,0.09102,0.07094,0.285704,0.009664,0,11,0,0,0.033333,0.209354
BDSU018,,5,30,none,10,2,12,0,8,0,2,10,0,1120,11,0.170732,0.221813,0.098263,0.506878,0.014835,0.024171,0,11,7,0,0.107143,0.631832
BDSU019,,5,27,none,4,1,5,0,4,0,1,5,0,960,2,0.666667,0.75,0.003663,0.032539,0.000718,0.041411,0,4,4,3,0.166667,0.351757
BDSU020,,4,68,none,0,1,1,0,0,0,1,1,0,1959,11,0.151194,0.188799,0,0,0.001564,0.00246,0,17,0,0,0,0
BDSU021,,3,30,land,1,4,5,0,1,0,3,4,1,5765,10,0.191419,0.255385,0.002081,0.02795,0.072916,0.003157,0,19,0,0,0,0.00325
BDSU022,,7,64,land,4,4,8,0,2,0,4,6,1,4244,8,0.224,0.316667,0.083061,0.011527,0.029449,0.012139,0,11,6,3,0,0.117942
