Id,Label,hh_size,head_age,landsalstat,weighted indegree,weighted outdegree,Weighted Degree,status,indegree,salaried,outdegree,Degree,Degree_ext,land,wealth_total_val_usd,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
BDSU001,,4,65,none,8,8,16,0,7,0,7,14,1,0,3103,9,0.260714,0.364878,0.161923,0.165571,0.178501,0.022965,0,2,0,0,0.030303,0.407457
BDSU002,,8,67,land,1,5,6,0,1,0,3,4,0,1,4224,9,0.22956,0.301913,0.023643,0.005581,0.104609,0.008834,0,2,3,0,0,0.022145
BDSU003,,4,30,landsal,1,0,1,0,1,1,0,1,4,1,2112,0,0,0,0,0.017638,0,0.004687,0,1,5,0,0,0.045954
BDSU004,,5,24,none,0,2,2,0,0,0,2,2,2,0,2837,9,0.23125,0.291592,0,0,0.030026,0.00211,0,3,5,0,0,0
BDSU005,,7,79,landstat,6,7,13,1,5,0,5,10,0,1,7023,9,0.235484,0.324141,0.044191,0.314838,0.241266,0.013951,0,2,3,0,0.119048,0.554474
BDSU006,,5,61,none,10,8,18,0,7,0,6,13,3,0,2132,8,0.273408,0.359997,0.14981,0.092977,0.138803,0.023651,0,2,0,0,0.009091,0.452667
BDSU007,,2,85,none,3,3,6,0,1,0,3,4,1,0,1845,9,0.231013,0.300511,0.00098,0.082781,0.210389,0.003665,0,2,3,0,0,0.130389
BDSU008,,4,83,landstat,2,3,5,1,2,0,3,5,3,1,8023,9,0.212828,0.273152,0.000377,0.11878,0.223381,0.006169,0,2,3,0,0.166667,0.235952
BDSU009,,5,57,landsal,5,6,11,0,4,1,5,9,0,1,3844,9,0.233227,0.320716,0.007055,0.276345,0.333785,0.009921,0,2,3,0,0.428571,0.492221
BDSU010,,4,53,none,3,1,4,0,3,0,1,4,1,0,4406,11,0.158696,0.18752,0.023976,0.125233,0.004662,0.013178,0,2,3,0,0,0.256251
BDSU011,,8,43,salstat,6,11,17,1,6,1,8,14,2,0,5093,8,0.269373,0.373598,0.083939,0.318303,0.40077,0.014633,0,2,3,0,0.081818,0.562872
BDSU012,,4,65,land,3,2,5,0,2,0,2,4,1,1,2884,7,0.25,0.2894,0.043213,0.111452,0.022145,0.007016,0,2,0,0,0,0.244462
BDSU013,,8,60,none,0,0,0,0,0,0,0,0,3,0,6084,0,0,0,0,0,0,0.00211,1,4,4,1,0,0
BDSU014,,3,42,land,4,3,7,0,4,0,3,7,2,1,1596,8,0.246622,0.306931,0.063353,0.080351,0.111891,0.018276,0,2,5,0,0,0.356516
BDSU015,,3,52,none,4,2,6,0,4,0,2,6,1,0,2236,9,0.221884,0.27481,0.018876,0.20998,0.035802,0.012841,0,2,5,0,0.033333,0.342661
BDSU016,,4,45,landsal,5,5,10,0,4,1,5,9,2,1,4293,9,0.238562,0.324027,0.049359,0.052387,0.085394,0.015157,0,2,5,0,0,0.171482
BDSU017,,3,34,none,8,6,14,0,8,0,6,14,3,0,1652,8,0.278626,0.360421,0.233418,0.279334,0.250475,0.039054,0,2,2,0,0.054545,1
BDSU018,,5,30,none,11,3,14,0,8,0,3,11,4,0,1120,8,0.231746,0.284899,0.030533,0.490277,0.077308,0.022179,0,2,2,0,0.136364,0.893181
BDSU019,,5,27,none,3,1,4,0,3,0,1,4,1,0,960,11,0.17217,0.198283,0.005481,0.003493,0.001941,0.015429,0,2,6,3,0,0.063268
BDSU020,,4,68,none,3,2,5,0,2,0,2,4,2,0,1959,10,0.222561,0.272739,0.051139,0.021495,0.025145,0.016324,0,2,2,4,0,0.178624
BDSU021,,3,30,land,1,2,3,0,1,0,2,3,3,1,5765,8,0.221884,0.258986,0.005753,0.001589,0.022353,0.00603,0,2,0,3,0,0.036315
BDSU022,,7,64,land,2,4,6,0,2,0,4,6,1,1,4244,9,0.217262,0.275054,0.020308,0.002577,0.004327,0.006041,0,2,8,3,0.2,0.024979
BDSU023,,3,30,none,3,3,6,0,2,0,2,4,0,0,1865,10,0.193634,0.237383,0.026185,0.004178,0.003091,0.005853,0,2,8,3,0.333333,0.0424
BDSU024,,4,59,land,1,1,2,0,1,0,1,2,0,1,2959,10,0.207386,0.254996,0,0.03687,0.0342,0.0049,0,2,0,0,0,0.103717
BDSU025,,4,35,none,3,2,5,0,3,0,2,5,1,0,2118,9,0.207386,0.250968,0.015704,0.031286,0.007694,0.009223,0,2,0,3,0,0.125957
BDSU026,,4,55,land,4,3,7,0,3,0,2,5,2,1,1071,9,0.242525,0.29084,0.01433,0.076932,0.080901,0.014876,0,2,2,4,0.4,0.370091
